date,store_id,product_id,category,region,inventory_level,units_sold,units_ordered,demand_forecast,price,discount,weather_condition,holiday_promotion,competitor_pricing,seasonality,year,month,day,day_of_week,week_of_year,promotion_flag
2024-01-01,DMART_052,PRD_0881,Groceries,Tamil Nadu,198.0,119.0,131.0,159.0,1779.28,0.17,Extreme Heat,Diwali Sale,1557.12,Medium,2024,1,1,0,1,0
2024-01-02,DMART_093,PRD_0213,Apparel,Gujarat,1453.0,149.0,233.0,193.0,1333.1,0.39,Rainy,,812.47,Low,2024,1,2,1,1,0
2024-01-03,DMART_015,PRD_0829,Groceries,Gujarat,860.0,261.0,338.0,282.0,2444.66,0.31,Extreme Heat,End of Month,1725.75,High,2024,1,3,2,1,0
2024-01-04,DMART_072,PRD_0137,Apparel,Gujarat,77.0,77.0,125.0,105.0,3154.18,0.13,Sunny,,2637.49,Low,2024,1,4,3,1,0
2024-01-05,DMART_061,PRD_0006,Electronics,Andhra Pradesh,1222.0,204.0,267.0,251.0,1134.48,0.25,Rainy,,827.05,High,2024,1,5,4,1,0
2024-01-06,DMART_021,PRD_0109,Groceries,Karnataka,1493.0,74.0,115.0,62.0,1623.4,0.02,Cloudy,End of Month,1792.15,Low,2024,1,6,5,1,0
2024-01-07,DMART_083,PRD_0547,Home & Kitchen,Maharashtra,329.0,74.0,99.0,61.0,818.31,0.11,Rainy,Festive Discount,707.31,Medium,2024,1,7,6,1,0
2024-01-08,DMART_087,PRD_0039,Personal Care,Maharashtra,1255.0,70.0,96.0,107.0,658.26,0.29,Extreme Heat,,449.22,Medium,2024,1,8,0,2,0
2024-01-09,DMART_075,PRD_0662,Personal Care,Tamil Nadu,215.0,158.0,178.0,191.0,2727.06,0.23,Extreme Heat,,2246.1,High,2024,1,9,1,2,0
2024-01-10,DMART_075,PRD_0425,Groceries,Gujarat,66.0,44.0,85.0,71.0,718.31,0.19,Humid,,597.28,Medium,2024,1,10,2,2,0
2024-01-12,DMART_100,PRD_0261,Electronics,Karnataka,388.0,47.0,61.0,54.0,1513.68,0.16,Rainy,,1238.5,Medium,2024,1,12,4,2,0
2024-01-13,DMART_024,PRD_0426,Electronics,Tamil Nadu,1118.0,123.0,221.0,168.0,3482.77,0.01,Cloudy,Republic Day Offer,3306.0,Medium,2024,1,13,5,2,0
2024-01-14,DMART_003,PRD_0087,Groceries,Telangana,1575.0,48.0,75.0,58.0,706.75,0.18,Humid,,650.9,Medium,2024,1,14,6,2,0
2024-01-15,DMART_022,PRD_0465,Stationery,Karnataka,891.0,158.0,170.0,150.0,343.56,0.36,Cloudy,,226.01,Low,2024,1,15,0,3,0
2024-01-16,DMART_053,PRD_0076,Home & Kitchen,Karnataka,238.0,146.0,183.0,184.0,282.51,0.34,Cloudy,Summer Special,181.24,High,2024,1,16,1,3,0
2024-01-17,DMART_002,PRD_0471,Groceries,Maharashtra,700.0,173.0,248.0,183.0,2927.25,0.16,Rainy,End of Month,2434.43,Medium,2024,1,17,2,3,0
2024-01-18,DMART_088,PRD_0976,Groceries,Tamil Nadu,1134.0,119.0,162.0,131.0,1543.46,0.01,Cloudy,,1483.07,Medium,2024,1,18,3,3,0
2024-01-19,DMART_030,PRD_0963,Groceries,Karnataka,343.0,265.0,360.0,297.0,30.87,0.25,Humid,Diwali Sale,24.21,High,2024,1,19,4,3,0
2024-01-21,DMART_002,PRD_0825,Home & Kitchen,Maharashtra,1106.0,158.0,197.0,206.0,3071.69,0.12,Sunny,Festive Discount,2780.66,Medium,2024,1,21,6,3,0
2024-01-22,DMART_064,PRD_0895,Home & Kitchen,Karnataka,1372.0,172.0,229.0,185.0,2826.33,0.19,Extreme Heat,,2458.69,Medium,2024,1,22,0,4,0
2024-01-23,DMART_060,PRD_0726,Groceries,Maharashtra,464.0,73.0,147.0,113.0,884.15,0.4,Sunny,Festive Discount,575.63,Medium,2024,1,23,1,4,0
2024-01-25,DMART_033,PRD_0285,Groceries,Andhra Pradesh,852.0,169.0,197.0,151.0,2612.34,0.14,Extreme Heat,Diwali Sale,2406.36,High,2024,1,25,3,4,0
2024-01-26,DMART_076,PRD_0239,Groceries,Maharashtra,1622.0,45.0,137.0,30.0,1722.95,0.25,Sunny,,1370.8,Medium,2024,1,26,4,4,0
2024-01-27,DMART_058,PRD_0677,Home & Kitchen,Maharashtra,480.0,114.0,175.0,113.0,555.32,0.07,Sunny,Summer Special,540.04,Medium,2024,1,27,5,4,0
2024-01-28,DMART_022,PRD_0599,Groceries,Karnataka,1568.0,78.0,128.0,61.0,864.94,0.08,Extreme Heat,,831.33,Medium,2024,1,28,6,4,0
2024-01-29,DMART_089,PRD_0653,Apparel,Maharashtra,1173.0,118.0,208.0,150.0,3404.61,0.37,Rainy,,2180.48,Low,2024,1,29,0,5,0
2024-02-01,DMART_059,PRD_0372,Personal Care,Gujarat,1497.0,16.0,66.0,31.0,1683.5,0.22,Rainy,,1331.36,Medium,2024,2,1,3,5,0
2024-02-02,DMART_042,PRD_0495,Personal Care,Telangana,536.0,283.0,325.0,296.0,2625.13,0.36,Humid,Festive Discount,1697.27,High,2024,2,2,4,5,0
2024-02-03,DMART_092,PRD_0624,Groceries,Maharashtra,1803.0,161.0,256.0,146.0,2320.67,0.31,Sunny,,1664.05,Medium,2024,2,3,5,5,0
2024-02-04,DMART_060,PRD_0919,Groceries,Tamil Nadu,138.0,138.0,229.0,183.0,1548.3,0.02,Sunny,Summer Special,1685.17,Medium,2024,2,4,6,5,0
2024-02-05,DMART_080,PRD_0045,Electronics,Karnataka,1282.0,194.0,220.0,191.0,1251.61,0.28,Cloudy,,900.75,Medium,2024,2,5,0,6,0
