date,store_id,product_id,category,region,inventory_level,units_sold,units_ordered,demand_forecast,price,discount,weather_condition,holiday_promotion,competitor_pricing,seasonality,year,month,day,day_of_week,week_of_year,promotion_flag
2022-02-13,S009,P0054,Toys,North,152,102,34,114.95,31.84,20,Sunny,1,28.55,Summer,2022,2,13,6,6,1
2022-01-01,S006,P0028,Groceries,North,380,97,136,127.46,94.16,15,Sunny,0,100.04,Autumn,2022,1,1,5,52,0
2022-02-07,S007,P0025,Clothing,North,199,62,21,66.66,10.11,0,Snowy,1,11.6,Spring,2022,2,7,0,6,1
2022-04-15,S007,P0033,Furniture,West,210,67,41,69.36,10.99,10,Rainy,1,9.42,Spring,2022,4,15,4,15,1
2022-04-04,S005,P0089,Furniture,East,108,51,34,80.31,37.95,10,Rainy,0,38.11,Summer,2022,4,4,0,14,0
2022-03-14,S010,P0050,Groceries,West,369,140,70,135.48,105.24,5,Sunny,1,103.68,Spring,2022,3,14,0,11,1
2022-03-04,S008,P0042,Clothing,North,323,98,79,57.47,12.24,20,Snowy,1,11.25,Summer,2022,3,4,4,9,1
2022-02-06,S005,P0034,Toys,East,141,120,191,142.39,79.32,5,Cloudy,0,68.24,Autumn,2022,2,6,6,5,0
2022-03-19,S006,P0085,Groceries,East,255,90,183,101.32,69.52,0,Rainy,1,63.43,Winter,2022,3,19,5,11,1
2022-03-06,S009,P0048,Toys,South,309,200,165,185.91,118.52,0,Snowy,0,134.15,Spring,2022,3,6,6,9,0
2022-01-13,S005,P0060,Electronics,East,239,49,101,72.77,85.56,5,Rainy,1,87.79,Spring,2022,1,13,3,2,1
2022-03-26,S002,P0049,Clothing,East,266,261,143,241.94,33.14,20,Rainy,1,28.32,Winter,2022,3,26,5,12,1
2022-01-08,S002,P0011,Toys,North,58,33,148,12.04,37.82,15,Rainy,0,32.21,Spring,2022,1,8,5,1,0
2022-04-22,S001,P0030,Toys,South,188,90,155,107.89,20.37,0,Snowy,1,19.51,Summer,2022,4,22,4,16,1
2022-01-01,S001,P0013,Electronics,North,90,37,154,52.1,129.01,0,Cloudy,0,127.05,Spring,2022,1,1,5,52,0
2022-04-20,S005,P0051,Clothing,South,82,57,170,81.24,92.78,5,Rainy,0,86.51,Autumn,2022,4,20,2,16,0
2022-04-02,S008,P0080,Groceries,North,84,74,120,98.67,146.04,5,Cloudy,0,161.33,Winter,2022,4,2,5,13,0
2022-02-10,S007,P0097,Furniture,South,54,35,161,102.45,69.86,5,Sunny,0,59.91,Autumn,2022,2,10,3,6,0
2022-01-18,S006,P0025,Groceries,South,228,72,115,53.59,99.1,15,Snowy,1,93.58,Autumn,2022,1,18,1,3,1
2022-03-29,S002,P0076,Clothing,West,145,141,170,158.45,38.43,0,Cloudy,1,43.54,Autumn,2022,3,29,1,13,1
2022-04-05,S002,P0069,Toys,East,376,196,105,241.74,133.27,10,Sunny,0,138.24,Spring,2022,4,5,1,14,0
2022-02-03,S005,P0079,Furniture,North,111,66,153,36.35,68.31,0,Rainy,0,76.16,Spring,2022,2,3,3,5,0
2022-03-04,S010,P0085,Toys,South,177,101,148,96.42,41.91,10,Sunny,1,40.99,Winter,2022,3,4,4,9,1
2022-02-23,S009,P0047,Electronics,West,165,12,122,14.54,77.88,15,Snowy,0,82.38,Winter,2022,2,23,2,8,0
2022-01-12,S006,P0097,Groceries,South,283,181,171,156.01,142.01,0,Sunny,0,134.48,Spring,2022,1,12,2,2,0
2022-04-29,S009,P0034,Furniture,East,145,122,81,121.63,52.12,0,Snowy,0,48.76,Winter,2022,4,29,4,17,0
2022-01-25,S003,P0029,Furniture,East,130,68,132,34.53,146.73,15,Rainy,0,142.81,Summer,2022,1,25,1,4,0
2022-04-30,S004,P0075,Clothing,South,392,233,148,221.51,78.52,0,Snowy,0,89.96,Winter,2022,4,30,5,17,0
2022-04-25,S009,P0006,Toys,West,465,256,87,247.57,21.32,0,Sunny,1,20.49,Summer,2022,4,25,0,17,1
2022-02-13,S004,P0098,Electronics,East,450,264,57,292.06,98.69,20,Rainy,0,99.75,Autumn,2022,2,13,6,6,0
2022-01-11,S006,P0065,Groceries,North,289,153,116,124.96,31.1,0,Cloudy,0,31.18,Autumn,2022,1,11,1,2,0
2022-03-16,S009,P0032,Toys,West,398,268,167,246.06,109.56,20,Cloudy,0,119.73,Autumn,2022,3,16,2,11,0
2022-02-10,S004,P0029,Toys,South,197,105,71,91.35,141.67,20,Snowy,0,137.32,Spring,2022,2,10,3,6,0
2022-02-26,S001,P0093,Clothing,North,88,10,30,-5.67,139.46,5,Sunny,1,155.25,Winter,2022,2,26,5,8,1
2022-04-02,S008,P0072,Toys,North,148,16,163,9.56,124.41,5,Cloudy,1,126.47,Spring,2022,4,2,5,13,1
2022-02-25,S007,P0063,Furniture,East,109,11,148,16.2,57.46,0,Sunny,1,54.86,Spring,2022,2,25,4,8,1
2022-01-30,S009,P0060,Clothing,West,353,217,150,232.64,129.89,0,Snowy,0,126.17,Summer,2022,1,30,6,4,0
2022-04-01,S006,P0005,Electronics,North,210,161,135,165.53,11.29,15,Snowy,0,9.94,Summer,2022,4,1,4,13,0
2022-02-18,S006,P0040,Electronics,South,148,102,165,118.95,32.51,15,Snowy,1,32.99,Summer,2022,2,18,4,7,1
2022-04-13,S010,P0056,Electronics,South,359,172,188,145.4,61.31,0,Snowy,0,65.8,Winter,2022,4,13,2,15,0
2022-03-09,S005,P0036,Furniture,South,244,154,147,153.49,89.56,5,Rainy,0,78.64,Spring,2022,3,9,2,10,0
2022-03-25,S007,P0096,Clothing,South,420,384,41,401.57,98.36,20,Snowy,1,107.06,Summer,2022,3,25,4,12,1
2022-01-04,S010,P0057,Toys,West,335,106,47,101.21,103.65,0,Snowy,0,114.97,Winter,2022,1,4,1,1,0
2022-01-02,S002,P0072,Toys,South,366,313,166,342.6,16.1,0,Snowy,0,18.49,Spring,2022,1,2,6,52,0
2022-03-20,S007,P0080,Electronics,West,207,55,136,62.94,133.69,0,Sunny,0,143.63,Spring,2022,3,20,6,11,0
2022-03-11,S010,P0007,Groceries,West,86,33,112,42.46,144.91,10,Snowy,0,160.26,Winter,2022,3,11,4,10,0
2022-02-26,S004,P0097,Furniture,East,240,222,179,220.54,129.16,15,Rainy,0,122.07,Spring,2022,2,26,5,8,0
2022-04-12,S004,P0001,Electronics,North,177,27,44,48.93,140.2,20,Cloudy,1,122.13,Summer,2022,4,12,1,15,1
2022-02-26,S006,P0056,Clothing,North,163,41,194,34.29,148.61,15,Rainy,1,132.56,Winter,2022,2,26,5,8,1
2022-03-03,S006,P0077,Clothing,West,204,139,36,148.0,51.51,20,Snowy,0,50.27,Summer,2022,3,3,3,9,0
2022-03-07,S003,P0052,Clothing,South,355,22,79,57.58,81.59,15,Rainy,1,81.63,Spring,2022,3,7,0,10,1
2022-01-05,S006,P0028,Groceries,East,222,29,84,25.69,17.11,15,Snowy,1,19.09,Spring,2022,1,5,2,1,1
2022-01-19,S010,P0065,Clothing,North,192,101,117,87.26,23.16,5,Snowy,0,23.7,Summer,2022,1,19,2,3,0
2022-04-20,S003,P0004,Electronics,South,391,60,172,63.0,45.04,5,Cloudy,0,38.81,Winter,2022,4,20,2,16,0
2022-02-26,S004,P0051,Furniture,West,320,63,120,65.82,83.11,10,Snowy,1,89.84,Winter,2022,2,26,5,8,1
2022-04-18,S007,P0086,Electronics,East,157,14,122,61.78,99.24,20,Snowy,1,105.97,Winter,2022,4,18,0,16,1
2022-01-02,S008,P0009,Groceries,North,318,133,125,169.87,55.21,15,Snowy,1,60.1,Autumn,2022,1,2,6,52,1
2022-01-31,S009,P0089,Groceries,East,368,284,111,266.85,35.81,0,Rainy,1,31.31,Autumn,2022,1,31,0,5,1
2022-01-21,S008,P0058,Groceries,North,176,146,159,162.8,67.25,10,Rainy,1,60.66,Spring,2022,1,21,4,3,1
2022-02-05,S002,P0068,Toys,East,50,43,115,78.31,102.43,0,Rainy,0,95.67,Autumn,2022,2,5,5,5,0
2022-02-07,S007,P0069,Clothing,West,321,198,88,206.1,95.64,20,Sunny,0,93.33,Summer,2022,2,7,0,6,0
2022-02-26,S004,P0098,Toys,South,125,35,163,21.4,23.18,20,Snowy,1,21.87,Autumn,2022,2,26,5,8,1
2022-04-16,S005,P0060,Groceries,North,88,42,120,74.65,98.91,10,Rainy,1,85.42,Summer,2022,4,16,5,15,1
2022-04-30,S001,P0095,Clothing,South,272,259,166,230.4,80.44,0,Sunny,0,89.04,Spring,2022,4,30,5,17,0
2022-04-01,S009,P0075,Electronics,South,374,13,35,16.98,13.71,20,Rainy,1,14.06,Spring,2022,4,1,4,13,1
2022-01-22,S001,P0042,Clothing,South,389,161,159,149.0,64.34,10,Snowy,0,67.11,Spring,2022,1,22,5,3,0
2022-04-12,S008,P0081,Electronics,East,92,53,48,75.72,19.71,10,Rainy,0,17.35,Autumn,2022,4,12,1,15,0
2022-04-03,S004,P0020,Clothing,North,435,262,54,286.6,63.96,5,Rainy,0,67.44,Spring,2022,4,3,6,13,0
2022-02-14,S003,P0020,Electronics,West,467,124,124,98.18,79.45,15,Rainy,1,84.05,Winter,2022,2,14,0,7,1
2022-03-09,S009,P0093,Groceries,North,163,84,176,82.2,145.46,20,Snowy,0,147.55,Autumn,2022,3,9,2,10,0
2022-01-17,S005,P0086,Toys,North,406,201,196,190.88,112.43,5,Sunny,0,99.87,Summer,2022,1,17,0,3,0
2022-01-03,S007,P0032,Toys,South,145,46,31,77.06,115.64,20,Sunny,1,101.87,Summer,2022,1,3,0,1,1
2022-03-07,S002,P0006,Electronics,South,322,71,103,62.21,125.7,0,Rainy,1,118.91,Autumn,2022,3,7,0,10,1
2022-03-02,S001,P0025,Furniture,West,236,28,196,19.77,143.95,10,Sunny,1,151.58,Summer,2022,3,2,2,9,1
2022-01-27,S001,P0061,Electronics,East,101,92,130,111.68,21.66,5,Rainy,1,19.01,Winter,2022,1,27,3,4,1
2022-02-10,S002,P0049,Electronics,East,445,34,199,57.16,120.82,15,Snowy,1,131.32,Spring,2022,2,10,3,6,1
2022-04-12,S004,P0020,Furniture,West,158,51,186,66.83,149.43,5,Cloudy,0,129.52,Autumn,2022,4,12,1,15,0
2022-02-17,S006,P0090,Clothing,East,212,84,165,85.8,127.39,0,Cloudy,1,124.57,Winter,2022,2,17,3,7,1
2022-02-28,S007,P0021,Clothing,North,217,179,156,180.65,125.06,5,Snowy,1,132.8,Autumn,2022,2,28,0,9,1
2022-03-03,S003,P0016,Groceries,West,54,38,184,46.91,130.84,5,Cloudy,0,145.77,Summer,2022,3,3,3,9,0
2022-02-25,S001,P0090,Clothing,West,194,80,64,50.76,115.47,5,Sunny,1,111.18,Summer,2022,2,25,4,8,1
2022-02-09,S006,P0073,Electronics,West,464,284,127,243.26,136.89,10,Snowy,1,120.92,Summer,2022,2,9,2,6,1
2022-04-09,S004,P0091,Furniture,South,222,150,145,181.4,17.88,0,Rainy,0,15.84,Winter,2022,4,9,5,14,0
2022-02-08,S007,P0065,Groceries,West,366,10,150,19.85,62.48,5,Cloudy,0,58.46,Spring,2022,2,8,1,6,0
2022-04-27,S010,P0069,Electronics,South,361,126,153,127.78,122.3,5,Snowy,1,139.83,Autumn,2022,4,27,2,17,1
2022-01-31,S001,P0011,Electronics,North,222,70,66,71.39,149.02,0,Rainy,1,129.97,Summer,2022,1,31,0,5,1
2022-04-02,S008,P0016,Toys,West,276,156,39,175.67,20.56,20,Cloudy,1,18.5,Summer,2022,4,2,5,13,1
2022-01-23,S010,P0087,Furniture,North,354,23,162,66.06,91.8,15,Rainy,1,102.85,Autumn,2022,1,23,6,3,1
2022-02-09,S006,P0041,Electronics,South,407,165,136,148.21,74.92,5,Cloudy,0,71.62,Summer,2022,2,9,2,6,0
2022-04-08,S010,P0093,Clothing,South,227,37,120,25.01,146.42,5,Rainy,1,167.78,Spring,2022,4,8,4,14,1
2022-03-15,S001,P0033,Furniture,South,496,154,180,188.55,47.93,15,Snowy,0,42.66,Winter,2022,3,15,1,11,0
2022-04-01,S010,P0068,Clothing,West,84,15,101,-14.85,68.33,5,Cloudy,0,69.99,Summer,2022,4,1,4,13,0
2022-04-11,S001,P0042,Clothing,East,458,19,75,21.84,33.08,0,Snowy,1,32.2,Winter,2022,4,11,0,15,1
2022-01-25,S010,P0100,Toys,North,423,74,165,94.74,148.22,10,Cloudy,1,132.68,Winter,2022,1,25,1,4,1
2022-02-06,S009,P0040,Clothing,South,390,291,82,314.07,89.67,0,Sunny,1,77.93,Autumn,2022,2,6,6,5,1
2022-04-13,S008,P0078,Toys,North,154,108,148,100.5,11.91,5,Snowy,0,10.39,Autumn,2022,4,13,2,15,0
2022-04-11,S010,P0028,Groceries,North,246,104,152,104.1,117.66,5,Sunny,0,133.36,Autumn,2022,4,11,0,15,0
2022-02-01,S010,P0025,Groceries,North,132,26,104,26.94,73.08,15,Rainy,0,64.95,Winter,2022,2,1,1,5,0
2022-01-04,S007,P0059,Toys,North,100,54,23,68.23,96.54,20,Cloudy,1,92.43,Winter,2022,1,4,1,1,1
2022-02-06,S005,P0009,Electronics,South,121,48,173,25.51,79.74,15,Sunny,1,79.17,Winter,2022,2,6,6,5,1
2022-02-21,S001,P0082,Clothing,North,308,277,73,285.27,77.21,0,Snowy,0,75.37,Winter,2022,2,21,0,8,0
2022-03-18,S006,P0084,Groceries,South,278,75,94,101.84,39.81,5,Sunny,1,35.47,Summer,2022,3,18,4,11,1
2022-04-26,S007,P0042,Electronics,East,301,235,57,267.21,87.67,10,Rainy,0,76.91,Spring,2022,4,26,1,17,0
2022-02-16,S001,P0095,Electronics,North,357,258,185,283.48,73.13,20,Sunny,1,82.14,Autumn,2022,2,16,2,7,1
