date,store_id,product_id,category,region,inventory_level,units_sold,units_ordered,demand_forecast,price,discount,weather_condition,holiday_promotion,competitor_pricing,seasonality,year,month,day,day_of_week,week_of_year,promotion_flag
2023-09-07,DMART_MUM_01,PROD_00430,Cosmetics,West,901.0,377,631,415,1120.47,0.06,overcast,,1331.78,Average,2023,9,7,3,36,0
2024-10-20,FLIPKART_PUN_02,PROD_00330,Home,West,524.0,168,417,167,,0.26,Breezy,FALSE,3685.08,High,2024,10,20,6,42,0
2023-05-08,FLIPKART_BLR_01,PROD_00476,ELECTRONICS,South,524.0,192,378,248,11574.65,0.17,Breezy,New Year Sale,11490.35,Normal,2023,5,8,0,19,0
2023-04-16,DMART_MUM_01,PROD_00173,electronics,West,,30,33,46,18884.52,0.25,,none,16006.33,Average,2023,4,16,6,15,0
2025-01-08,RELIANCE_LKW_01,PROD_00272,Automotive,North,,59,73,60,,0.34,Stormy,FALSE,2971.86,Low,2025,1,8,2,2,0
2022-07-05,DMART_CHN_04,PROD_00113,AUTO,South,202.0,95,209,144,3517.85,0.36,windy,none,4071.94,Slow,2022,7,5,1,27,0
2022-06-29,MEESHO_HYD_02,PROD_00049,clothing,South,,243,115,184,,0.0,windy,FALSE,1258.44,Slow,2022,6,29,2,26,0
2023-05-12,MEESHO_HYD_02,PROD_00377,Auto,South,552.0,234,279,245,2756.28,0.35,Rain,FALSE,2500.88,Normal,2023,5,12,4,19,0
2024-10-22,LOCALMART_JDP_01,PROD_00070,Car Accessories,West,76.0,51,39,47,3358.55,0.15,WINDY,Navratri,2696.17,High,2024,10,22,1,43,0
2023-12-24,JIOMART_PAT_01,PROD_00116,clothing,East,844.0,602,735,801,889.01,0.07,SUN,New Year Sale,1159.02,Festive,2023,12,24,6,51,0
2022-09-06,JIOMART_PAT_01,PROD_00374,Apparel,East,259.0,258,194,306,1106.62,0.16,Thunderstorm,NO,838.74,Average,2022,9,6,1,36,0
2024-07-31,RELIANCE_LKW_01,PROD_00157,ELECTRONICS,North,141.0,63,155,54,14389.53,0.18,,Diwali Sale,15120.61,Low,2024,7,31,2,31,0
2024-02-24,DMART_CHN_04,PROD_00421,Furniture,South,100.0,89,106,128,12308.5,0.06,cloudy,Republic Day,9388.04,Slow,2024,2,24,5,8,0
2024-10-23,AMAZON_MUM_02,PROD_00114,Sport,West,492.0,278,582,291,22388.99,0.29,Clear,Holi Offer,17889.36,Festive,2024,10,23,2,43,0
2024-01-08,BIGBAZAAR_NGP_01,PROD_00093,Sport,West,239.0,71,280,90,,0.0,,FALSE,2030.22,Off-season,2024,1,8,0,2,0
2023-07-23,BIGBAZAAR_NGP_01,PROD_00456,Apparel,West,625.0,256,316,224,1391.41,0.37,STORM,Diwali Sale,1356.19,Low,2023,7,23,6,29,0
2024-04-15,RELIANCE_LKW_01,PROD_00171,Sport,North,172.0,158,81,116,1892.38,0.03,sunny,FALSE,2410.35,Normal,2024,4,15,0,16,0
2023-01-01,FLIPKART_PUN_02,PROD_00021,Sports,West,,390,0,371,,0.44,cloudy,Navratri,2163.81,Slow,2023,1,1,6,52,0
2024-08-23,MEESHO_HYD_02,PROD_00255,Car Accessories,South,95.0,77,62,79,3560.82,0.05,Sunny,none,4516.41,Normal,2024,8,23,4,34,0
2022-08-19,MEESHO_HYD_02,PROD_00377,clothing,South,943.0,29,688,218,,0.12,,Christmas Sale,967.93,High,2022,8,19,4,33,0
2022-01-13,AMAZON_DEL_01,PROD_00069,Home&Kitchen,North,,448,824,374,2088.47,0.0,Foggy,1,2063.52,Low,2022,1,13,3,2,1
2024-07-10,MEESHO_KOL_01,PROD_00393,HOME & KITCHEN,East,310.0,159,96,126,2500.88,0.18,Thunderstorm,0,2172.39,Medium,2024,7,10,2,28,0
2024-09-09,RELIANCE_LKW_01,PROD_00313,Book,North,1071.0,517,872,495,573.0,0.19,clear,TRUE,710.69,Medium,2024,9,9,0,37,1
2022-01-28,FLIPKART_BLR_01,PROD_00411,Electronic,South,530.0,153,313,190,14859.06,0.11,FOG,Independence Day,18594.46,Slow,2022,1,28,4,4,0
2022-11-23,AMAZON_MUM_02,PROD_00058,Home&Kitchen,West,645.0,14,671,431,2991.74,0.43,Breezy,Eid Special,2971.25,High,2022,11,23,2,47,0
2022-06-27,AMAZON_DEL_01,PROD_00300,ELECTRONICS,North,63.0,34,21,30,17141.54,0.18,Drizzle,Eid Special,15519.9,Slow,2022,6,27,0,26,0
2024-04-12,LOCALMART_JDP_01,PROD_00169,Furniture,West,-5.0,73,66,66,11823.52,0.02,Wet,New Year Sale,14905.96,Normal,2024,4,12,4,15,0
2023-11-01,DMART_BLR_03,PROD_00297,GROCERY,South,703.0,204,335,135,263.3,0.33,cloudy,Diwali Sale,345.18,Low,2023,11,1,2,44,0
2022-08-26,BIGBAZAAR_NGP_01,PROD_00285,books,West,275.0,149,123,146,620.26,0.14,SUNNY,,566.01,Average,2022,8,26,4,34,0
2022-11-11,DMART_DEL_02,PROD_00497,groceries,North,123.0,67,81,36,280.25,0.23,RAINY,FALSE,273.33,High,2022,11,11,4,45,0
2024-10-05,DMART_CHN_04,PROD_00483,Home & Kitchen,South,944.0,318,592,368,1926.55,0.22,Fair,0,2497.75,High,2024,10,5,5,40,0
2023-03-20,DMART_DEL_02,PROD_00345,Electronic,North,608.0,191,723,259,15625.32,0.16,foggy,FALSE,14856.42,Average,2023,3,20,0,12,0
2024-09-05,MEESHO_KOL_01,PROD_00363,Clothes,East,462.0,280,231,448,1012.21,0.39,SUNNY,TRUE,1300.29,Low,2024,9,5,3,36,1
2024-11-12,BIGBAZAAR_NGP_01,PROD_00082,GROCERY,West,159.0,52,51,35,419.92,0.01,windy,Holi Offer,467.03,High,2024,11,12,1,46,0
2024-10-03,RELIANCE_LKW_01,PROD_00177,books,North,306.0,106,157,144,400.92,0.34,Fog,Independence Day,291.02,Peak,2024,10,3,3,40,0
2023-06-23,RELIANCE_LKW_01,PROD_00422,electronics,North,1393.0,452,1016,300,15763.55,0.01,Drizzle,Onam Festival,16901.4,Slow,2023,6,23,4,25,0
2023-09-29,Spencer_CHN_01,PROD_00210,CLOTHING,South,1576.0,485,1445,616,1431.42,0.09,cloudy,Navratri,1229.85,Medium,2023,9,29,4,39,0
2024-10-30,RELIANCE_LKW_01,PROD_00342,sports,North,1474.0,435,658,360,,0.08,Fog,Holi Offer,1697.22,Festive,2024,10,30,2,44,0
2023-10-10,AMAZON_MUM_02,PROD_00028,Furniture,West,287.0,129,92,132,14025.73,0.01,RAINY,Onam Festival,17626.97,Peak,2023,10,10,1,41,0
2023-04-17,DMART_CHN_04,PROD_00255,sports,South,392.0,153,440,146,2060.34,0.17,,,2491.02,Normal,2023,4,17,0,16,0
2022-03-05,LOCALMART_JDP_01,PROD_00181,Books,West,586.0,201,180,195,394.97,0.17,WINDY,Independence Day,325.18,Normal,2022,3,5,5,9,0
2023-04-13,MEESHO_HYD_02,PROD_00179,Automotive,South,642.0,431,489,639,2880.92,0.41,cloudy,Christmas Sale,3518.56,Normal,2023,4,13,3,15,0
2023-04-08,DMART_MUM_01,PROD_00399,CLOTHING,West,1380.0,487,1569,589,21532.17,0.36,Stormy,Onam Festival,17859.74,Average,2023,4,8,5,14,0
2023-10-15,DMART_CHN_04,PROD_00146,Cosmetics,South,609.0,331,313,453,672.93,0.06,,Republic Day,652.64,High,2023,10,15,6,41,0
2024-11-06,MEESHO_KOL_01,PROD_00173,Book,East,258.0,89,223,62,453.14,0.11,Sunny,NO,398.9,Off-season,2024,11,6,2,45,0
2023-12-05,FLIPKART_PUN_02,PROD_00143,beauty,West,448.0,4,382,125,710.03,0.49,WINDY,Diwali Sale,864.68,Festive,2023,12,5,1,49,0
2024-06-10,Spencer_CHN_01,PROD_00394,Home,South,422.0,227,245,163,2270.34,0.09,SUN,,1947.16,Slow,2024,6,10,0,24,0
2022-07-23,LOCALMART_JDP_01,PROD_00488,Cosmetics,West,19813.0,279,0,279,773.63,0.15,WINDY,Holi Offer,811.14,Off-season,2022,7,23,5,29,0
2022-08-25,DMART_BLR_03,PROD_00125,furniture,South,326.0,304,193,384,13087.44,0.34,RAINY,TRUE,17285.48,Average,2022,8,25,3,34,1
2022-07-10,DMART_BLR_03,PROD_00259,sports,South,502.0,424,514,624,1904.53,0.01,FOG,Diwali Sale,2327.1,Low,2022,7,10,6,27,0
2023-11-16,MEESHO_KOL_01,PROD_00443,groceries,East,88.0,57,53,127,318.13,0.21,Rain,NO,162.99,High,2023,11,16,3,46,0
2023-01-10,AMAZON_MUM_02,PROD_00290,Groceries,West,263.0,0,126,241,444.78,0.38,Stormy,0,618.97,Low,2023,1,10,1,2,0
2022-06-04,BIGBAZAAR_NGP_01,PROD_00491,Home,West,1201.0,506,1350,613,2289.33,0.28,SUN,New Year Sale,2389.42,Normal,2022,6,4,5,22,0
2022-07-07,DMART_MUM_01,PROD_00100,home,West,92.0,34,81,46,3158.21,0.0,,0,2428.96,Slow,2022,7,7,3,27,0
2024-04-16,Spencer_CHN_01,PROD_00088,HOME & KITCHEN,South,151.0,0,69,84,125.0,0.32,overcast,Onam Festival,2516.55,Medium,2024,4,16,1,16,0
2022-09-14,FLIPKART_PUN_02,PROD_00308,Car Accessories,West,439.0,155,327,100,3976.84,0.0,,FALSE,4851.79,Average,2022,9,14,2,37,0
2024-02-08,Spencer_CHN_01,PROD_00292,AUTO,South,1017.0,401,757,467,2900.72,0.01,Foggy,TRUE,3836.46,Low,2024,2,8,3,6,1
2022-12-10,MEESHO_KOL_01,PROD_00074,Home & Kitchen,East,339.0,177,159,215,2645.07,0.45,CLOUDY,NO,3367.64,High,2022,12,10,5,49,0
2025-03-22,AMAZON_MUM_02,PROD_00013,Toys,West,432.0,286,341,313,1170.38,0.41,Thunderstorm,Diwali Sale,1066.88,Average,2025,3,22,5,12,0
2024-02-28,MEESHO_HYD_02,PROD_00488,Cosmetics,South,384.0,164,282,163,742.2,0.45,,1,880.71,Off-season,2024,2,28,2,9,1
2023-11-10,DMART_CHN_04,PROD_00070,Groceries,South,581.0,453,385,411,310.44,0.12,,Onam Festival,241.06,Peak,2023,11,10,4,45,0
2022-12-04,MEESHO_HYD_02,PROD_00285,books,South,493.0,434,356,618,362.78,0.3,Breezy,FALSE,473.91,High,2022,12,4,6,48,0
2024-05-05,MEESHO_HYD_02,PROD_00445,FURNITURE,South,1058.0,308,867,256,,0.07,rain,Navratri,13754.24,Average,2024,5,5,6,18,0
2024-05-28,AMAZON_DEL_01,PROD_00357,ELECTRONICS,North,461.0,134,526,164,12212.08,0.41,Overcast,FALSE,15971.35,Medium,2024,5,28,1,22,0
2024-06-16,RELIANCE_LKW_01,PROD_00129,BOOKS,North,241.0,188,224,247,491.51,0.31,SUNNY,Navratri,494.5,Low,2024,6,16,6,24,0
2023-10-06,DMART_MUM_01,PROD_00194,Kids,West,236.0,169,80,114,987.64,0.25,SUN,Christmas Sale,1352.41,Peak,2023,10,6,4,40,0
2023-09-25,DMART_MUM_01,PROD_00060,Toy,West,1731.0,789,1524,680,1284.62,0.44,overcast,Diwali Sale,1241.54,Medium,2023,9,25,0,39,0
2022-04-07,Spencer_CHN_01,PROD_00049,Cosmetics,South,456.0,221,149,138,701.14,0.32,Breezy,TRUE,768.16,Normal,2022,4,7,3,14,1
2024-08-18,FLIPKART_PUN_02,PROD_00036,Car Accessories,West,499.0,216,418,227,,0.43,WINDY,Navratri,4594.67,Medium,2024,8,18,6,33,0
2024-07-16,RELIANCE_LKW_01,PROD_00403,SPORTS,North,356.0,159,131,282,1897.6,0.14,Windy,Republic Day,1834.83,Low,2024,7,16,1,29,0
2024-12-18,LOCALMART_JDP_01,PROD_00002,Furniture,West,664.0,382,260,338,12741.06,0.34,foggy,NO,10800.26,Festive,2024,12,18,2,51,0
2022-12-16,AMAZON_MUM_02,PROD_00005,Electronic,West,82.0,35,35,35,14803.02,0.16,Wet,,13242.4,High,2022,12,16,4,50,0
2023-09-06,BIGBAZAAR_NGP_01,PROD_00152,Cosmetics,West,65.0,49,64,51,699.47,0.14,WINDY,Diwali Sale,610.14,Medium,2023,9,6,2,36,0
2022-04-10,DMART_CHN_04,PROD_00042,HOME & KITCHEN,South,1225.0,379,1031,336,2031.46,0.17,cloudy,Holi Offer,2373.39,Normal,2022,4,10,6,14,0
2024-01-03,DMART_DEL_02,PROD_00168,Elec,North,291.0,98,309,109,19106.91,0.41,Foggy,Independence Day,18010.76,Medium,2024,1,3,2,1,0
2023-03-15,MEESHO_KOL_01,PROD_00487,Kids,East,,409,521,560,901.89,0.25,stormy,1,701.41,Normal,2023,3,15,2,11,1
2023-11-11,AMAZON_DEL_01,PROD_00426,automotive,North,95.0,40,69,38,,0.0,RAINY,FALSE,2718.6,Peak,2023,11,11,5,45,0
2022-02-01,JIOMART_PAT_01,PROD_00489,Home,East,807.0,258,270,379,,0.14,CLOUDY,Holi Offer,2651.78,Off-season,2022,2,1,1,5,0
2022-02-04,AMAZON_MUM_02,PROD_00278,Automotive,West,,171,274,133,4461.84,0.13,sunny,FALSE,3623.48,Medium,2022,2,4,4,5,0
2022-12-01,JIOMART_PAT_01,PROD_00476,groc,East,19096.0,691,0,764,390.33,0.07,SUN,TRUE,394.18,Festive,2022,12,1,3,48,1
2022-02-02,BIGBAZAAR_NGP_01,PROD_00282,Book,West,835.0,421,437,247,586.54,0.06,CLOUDY,Onam Festival,656.84,Low,2022,2,2,2,5,0
2022-07-07,DMART_BLR_03,PROD_00185,Cosmetics,South,245.0,492,239,373,,0.44,WINDY,,986.59,Low,2022,7,7,3,27,0
2022-08-29,BIGBAZAAR_NGP_01,PROD_00416,Toy,West,1291.0,821,989,1014,1058.3,0.03,,Holi Offer,1402.77,Medium,2022,8,29,0,35,0
2022-10-29,JIOMART_PAT_01,PROD_00486,books,East,1056.0,390,1098,500,507.12,0.44,Thunderstorm,1,601.67,High,2022,10,29,5,43,1
2024-10-26,MEESHO_HYD_02,PROD_00376,Sport,South,784.0,731,857,735,1651.35,0.03,stormy,Eid Special,2057.12,Festive,2024,10,26,5,43,0
