Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
01-01-2024,DMART_052,PRD_0881,Groceries,Tamil Nadu,198,119,131,159,1779.28,0.17,Extreme Heat,Diwali Sale,1557.12,Medium
02-01-2024,DMART_093,PRD_0213,Apparel,Gujarat,1453,149,233,193,1333.1,0.39,Rainy,None,812.47,Low
03-01-2024,DMART_015,PRD_0829,Groceries,Gujarat,860,261,338,282,2444.66,0.31,Extreme Heat,End of Month,1725.75,High
04-01-2024,DMART_072,PRD_0137,Apparel,Gujarat,77,77,125,105,3154.18,0.13,Sunny,None,2637.49,Low
05-01-2024,DMART_061,PRD_0006,Electronics,Andhra Pradesh,1222,204,267,251,1134.48,0.25,Rainy,None,827.05,High
06-01-2024,DMART_021,PRD_0109,Groceries,Karnataka,1493,74,115,62,1623.4,0.02,Cloudy,End of Month,1792.15,Low
07-01-2024,DMART_083,PRD_0547,Home & Kitchen,Maharashtra,329,74,99,61,818.31,0.11,Rainy,Festive Discount,707.31,Medium
08-01-2024,DMART_087,PRD_0039,Personal Care,Maharashtra,1255,70,96,107,658.26,0.29,Extreme Heat,None,449.22,Medium
09-01-2024,DMART_075,PRD_0662,Personal Care,Tamil Nadu,215,158,178,191,2727.06,0.23,Extreme Heat,None,2246.1,High
10-01-2024,DMART_075,PRD_0425,Groceries,Gujarat,66,44,85,71,718.31,0.19,Humid,None,597.28,Medium
11-01-2024,DMART_088,PRD_0630,Apparel,Karnataka,1223,492,528,525,2780.75,0.28,Cloudy,None,2064.58,High
12-01-2024,DMART_100,PRD_0261,Electronics,Karnataka,388,47,61,54,1513.68,0.16,Rainy,None,1238.5,Medium
13-01-2024,DMART_024,PRD_0426,Electronics,Tamil Nadu,1118,123,221,168,3482.77,0.01,Cloudy,Republic Day Offer,3306,Medium
14-01-2024,DMART_003,PRD_0087,Groceries,Telangana,1575,48,75,58,706.75,0.18,Humid,None,650.9,Medium
15-01-2024,DMART_022,PRD_0465,Stationery,Karnataka,891,158,170,150,343.56,0.36,Cloudy,None,226.01,Low
16-01-2024,DMART_053,PRD_0076,Home & Kitchen,Karnataka,238,146,183,184,282.51,0.34,Cloudy,Summer Special,181.24,High
17-01-2024,DMART_002,PRD_0471,Groceries,Maharashtra,700,173,248,183,2927.25,0.16,Rainy,End of Month,2434.43,Medium
18-01-2024,DMART_088,PRD_0976,Groceries,Tamil Nadu,1134,119,162,131,1543.46,0.01,Cloudy,None,1483.07,Medium
19-01-2024,DMART_030,PRD_0963,Groceries,Karnataka,343,265,360,297,30.87,0.25,Humid,Diwali Sale,24.21,High
20-01-2024,DMART_038,PRD_0414,Electronics,Karnataka,1907,467,498,482,3064.2,0.3,Sunny,None,2382.39,High
21-01-2024,DMART_002,PRD_0825,Home & Kitchen,Maharashtra,1106,158,197,206,3071.69,0.12,Sunny,Festive Discount,2780.66,Medium
22-01-2024,DMART_064,PRD_0895,Home & Kitchen,Karnataka,1372,172,229,185,2826.33,0.19,Extreme Heat,None,2458.69,Medium
23-01-2024,DMART_060,PRD_0726,Groceries,Maharashtra,464,73,147,113,884.15,0.4,Sunny,Festive Discount,575.63,Medium
24-01-2024,DMART_021,PRD_0457,Home & Kitchen,Telangana,1697,488,558,527,1317.18,0.23,Rainy,Summer Special,1107.96,High
25-01-2024,DMART_033,PRD_0285,Groceries,Andhra Pradesh,852,169,197,151,2612.34,0.14,Extreme Heat,Diwali Sale,2406.36,High
26-01-2024,DMART_076,PRD_0239,Groceries,Maharashtra,1622,45,137,30,1722.95,0.25,Sunny,None,1370.8,Medium
27-01-2024,DMART_058,PRD_0677,Home & Kitchen,Maharashtra,480,114,175,113,555.32,0.07,Sunny,Summer Special,540.04,Medium
28-01-2024,DMART_022,PRD_0599,Groceries,Karnataka,1568,78,128,61,864.94,0.08,Extreme Heat,None,831.33,Medium
29-01-2024,DMART_089,PRD_0653,Apparel,Maharashtra,1173,118,208,150,3404.61,0.37,Rainy,None,2180.48,Low
30-01-2024,DMART_049,PRD_0672,Groceries,Tamil Nadu,1096,447,521,488,545.53,0.1,Extreme Heat,None,515.97,High
31-01-2024,DMART_091,PRD_0558,Home & Kitchen,Gujarat,1493,432,491,449,2546.76,0.12,Rainy,Diwali Sale,2343.82,High
01-02-2024,DMART_059,PRD_0372,Personal Care,Gujarat,1497,16,66,31,1683.5,0.22,Rainy,None,1331.36,Medium
02-02-2024,DMART_042,PRD_0495,Personal Care,Telangana,536,283,325,296,2625.13,0.36,Humid,Festive Discount,1697.27,High
03-02-2024,DMART_092,PRD_0624,Groceries,Maharashtra,1803,161,256,146,2320.67,0.31,Sunny,None,1664.05,Medium
04-02-2024,DMART_060,PRD_0919,Groceries,Tamil Nadu,138,138,229,183,1548.3,0.02,Sunny,Summer Special,1685.17,Medium
05-02-2024,DMART_080,PRD_0045,Electronics,Karnataka,1282,194,220,191,1251.61,0.28,Cloudy,None,900.75,Medium
06-02-2024,DMART_015,PRD_0401,Groceries,Karnataka,320,156,249,162,2645.17,0.2,Extreme Heat,None,2368.12,Medium
07-02-2024,DMART_062,PRD_0247,Apparel,Andhra Pradesh,1822,165,229,183,1144.53,0.19,Humid,None,1014.95,Medium
08-02-2024,DMART_062,PRD_0616,Electronics,Telangana,949,169,265,199,2761.44,0.28,Sunny,Festive Discount,1992.97,Medium
09-02-2024,DMART_047,PRD_0597,Groceries,Tamil Nadu,1479,43,98,41,2385.85,0.08,Cloudy,None,2091.3,Medium
