Date,Store_ID,Product_ID,Category,Region,Inventory Level,Units_Sold,Units_Ordered,Demand_Forecast,Price,Discount,Weather_Condition,Holiday_Promotion,Competitor_Pricing,Seasonality
07-09-2023,DMART_MUM_01,PROD_00430,Cosmetics,West,901,377,631,415,1120.47,0.06,overcast,None,1331.78,Average
01-31-2025,FLIPKART_PUN_02,PROD_00197,Home&Kitchen,West,,599,662,529,2573.62,0.34,windy,Diwali Sale,2513.76,Low
03-20-2022,DMART_DEL_02,PROD_00193,cosmetics,North,266,90,209,111,891.98,0.37,stormy,NO,703.36,Medium
20-10-2024,FLIPKART_PUN_02,PROD_00330,Home,West,524,168,417,167,,0.26,Breezy,FALSE,3685.08,High
08-05-2023,FLIPKART_BLR_01,PROD_00476,ELECTRONICS,South,524,192,378,248,11574.65,0.17,Breezy,New Year Sale,11490.35,Normal
16-04-2023,DMART_MUM_01,PROD_00173,electronics,West,,30,33,46,18884.52,0.25,,none,16006.33,Average
08-01-2025,RELIANCE_LKW_01,PROD_00272,Automotive,North,,59,73,60,,0.34,Stormy,FALSE,2971.86,Low
03-28-2024,FLIPKART_PUN_02,PROD_00465,books,West,783,664,867,815,414.27,0.39,Fog,TRUE,480.82,Normal
05-07-2022,DMART_CHN_04,PROD_00113,AUTO,South,202,95,209,144,3517.85,0.36,windy,none,4071.94,Slow
29-06-2022,MEESHO_HYD_02,PROD_00049,clothing,South,,243,115,184,,,windy,FALSE,1258.44,Slow
12-05-2023,MEESHO_HYD_02,PROD_00377,Auto,South,552,234,279,245,2756.28,0.35,Rain,FALSE,2500.88,Normal
10-22-2023,LOCALMART_JDP_01,PROD_00270,sports,West,684,228,614,198,26009.99,0.38,Breezy,New Year Sale,34953.23,Festive
22-10-2024,LOCALMART_JDP_01,PROD_00070,Car Accessories,West,76,51,39,47,3358.55,0.15,WINDY,Navratri,2696.17,High
24-12-2023,JIOMART_PAT_01,PROD_00116,clothing,East,844,602,735,801,889.01,0.07,SUN,New Year Sale,1159.02,Festive
04-13-2022,DMART_MUM_01,PROD_00222,ELECTRONICS,West,501,307,277,306,15831.87,0.1,,Diwali Sale,16796.07,Average
06-09-2022,JIOMART_PAT_01,PROD_00374,Apparel,East,259,258,194,306,1106.62,0.16,Thunderstorm,NO,838.74,Average
31-07-2024,RELIANCE_LKW_01,PROD_00157,ELECTRONICS,North,141,63,155,54,14389.53,0.18,,Diwali Sale,15120.61,Low
24-02-2024,DMART_CHN_04,PROD_00421,Furniture,South,100,89,106,128,12308.5,0.06,cloudy,Republic Day,9388.04,Slow
23-10-2024,AMAZON_MUM_02,PROD_00114,Sport,West,492,278,582,291,22388.99,0.29,Clear,Holi Offer,17889.36,Festive
08-01-2024,BIGBAZAAR_NGP_01,PROD_00093,Sport,West,239,71,280,90,,,,FALSE,2030.22,Off-season
23-07-2023,BIGBAZAAR_NGP_01,PROD_00456,Apparel,West,625,256,316,224,1391.41,0.37,STORM,Diwali Sale,1356.19,Low
15-04-2024,RELIANCE_LKW_01,PROD_00171,Sport,North,172,158,81,116,1892.38,0.03,sunny,FALSE,2410.35,Normal
09-17-2024,JIOMART_PAT_01,PROD_00086,Books,East,36003,11523,36393,12949,439.93,0.03,Clear,Holi Offer,563.67,Average
01-01-2023,FLIPKART_PUN_02,PROD_00021,Sports,West,,390,0,371,,0.44,cloudy,Navratri,2163.81,Slow
23-08-2024,MEESHO_HYD_02,PROD_00255,Car Accessories,South,95,77,62,79,3560.82,0.05,Sunny,none,4516.41,Normal
19-08-2022,MEESHO_HYD_02,PROD_00377,clothing,South,943,29,688,218,,0.12,,Christmas Sale,967.93,High
25-11-2022,FLIPKART_BLR_01,PROD_00157,Home,South,3016,923,1262,678,2498.28,0.21,SUN,Navratri,3079.01,High
13-01-2022,AMAZON_DEL_01,PROD_00069,Home&Kitchen,North,,448,824,374,2088.47,,Foggy,1,2063.52,Low
10-07-2024,MEESHO_KOL_01,PROD_00393,HOME & KITCHEN,East,310,159,96,126,2500.88,0.18,Thunderstorm,0,2172.39,Medium
09-09-2024,RELIANCE_LKW_01,PROD_00313,Book,North,1071,517,872,495,573,0.19,clear,TRUE,710.69,Medium
28-01-2022,FLIPKART_BLR_01,PROD_00411,Electronic,South,530,153,313,190,14859.06,0.11,FOG,Independence Day,18594.46,Slow
23-11-2022,AMAZON_MUM_02,PROD_00058,Home&Kitchen,West,645,14,671,431,2991.74,0.43,Breezy,Eid Special,2971.25,High
05-30-2024,MEESHO_HYD_02,PROD_00208,home,South,689,476,620,668,2323.04,0.29,Drizzle,Diwali Sale,2870.19,Average
27-06-2022,AMAZON_DEL_01,PROD_00300,ELECTRONICS,North,63,34,21,30,17141.54,0.18,Drizzle,Eid Special,15519.9,Slow
16-07-2023,RELIANCE_LKW_01,PROD_00485,AUTO,North,57001,24835,52304,21022,3549.75,0.18,Foggy,1,2630.68,Low
12-04-2024,LOCALMART_JDP_01,PROD_00169,Furniture,West,-5,73,66,66,11823.52,0.02,Wet,New Year Sale,14905.96,Normal
01-11-2023,DMART_BLR_03,PROD_00297,GROCERY,South,703,204,335,135,263.3,0.33,cloudy,Diwali Sale,345.18,Low
26-08-2022,BIGBAZAAR_NGP_01,PROD_00285,books,West,275,149,123,146,620.26,0.14,SUNNY,None,566.01,Average
11-11-2022,DMART_DEL_02,PROD_00497,groceries,North,123,67,81,36,280.25,0.23,RAINY,FALSE,273.33,High
05-10-2024,DMART_CHN_04,PROD_00483,Home & Kitchen,South,944,318,592,368,1926.55,0.22,Fair,0,2497.75,High
20-03-2023,DMART_DEL_02,PROD_00345,Electronic,North,608,191,723,259,15625.32,0.16,foggy,FALSE,14856.42,Average
05-09-2024,MEESHO_KOL_01,PROD_00363,Clothes,East,462,280,231,448,1012.21,0.39,SUNNY,TRUE,1300.29,Low
12-11-2024,BIGBAZAAR_NGP_01,PROD_00082,GROCERY,West,159,52,51,35,419.92,0.01,windy,Holi Offer,467.03,High
03-10-2024,RELIANCE_LKW_01,PROD_00177,books,North,306,106,157,144,400.92,0.34,Fog,Independence Day,291.02,Peak
19-11-2024,Spencer_CHN_01,PROD_00194,Sport,South,2946,1083,1873,1329,1499.34,0.1,Sunny,TRUE,1299.59,Festive
23-06-2023,RELIANCE_LKW_01,PROD_00422,electronics,North,1393,452,1016,300,15763.55,0.01,Drizzle,Onam Festival,16901.4,Slow
29-09-2023,Spencer_CHN_01,PROD_00210,CLOTHING,South,1576,485,1445,616,1431.42,0.09,cloudy,Navratri,1229.85,Medium
30-10-2024,RELIANCE_LKW_01,PROD_00342,sports,North,1474,435,658,360,,0.08,Fog,Holi Offer,1697.22,Festive
22-11-2023,AMAZON_MUM_02,PROD_00241,Book,West,3374,1133,2534,1571,434.56,0.05,Rainy,New Year Sale,369.9,Peak
10-10-2023,AMAZON_MUM_02,PROD_00028,Furniture,West,287,129,92,132,14025.73,0.01,RAINY,Onam Festival,17626.97,Peak
17-04-2023,DMART_CHN_04,PROD_00255,sports,South,392,153,440,146,2060.34,0.17,,None,2491.02,Normal
05-03-2022,LOCALMART_JDP_01,PROD_00181,Books,West,586,201,180,195,394.97,0.17,WINDY,Independence Day,325.18,Normal
13-04-2023,MEESHO_HYD_02,PROD_00179,Automotive,South,642,431,489,639,2880.92,0.41,cloudy,Christmas Sale,3518.56,Normal
08-04-2023,DMART_MUM_01,PROD_00399,CLOTHING,West,1380,487,1569,589,21532.17,0.36,Stormy,Onam Festival,17859.74,Average
15-10-2023,DMART_CHN_04,PROD_00146,Cosmetics,South,609,331,313,453,672.93,0.06,,Republic Day,652.64,High
06-11-2024,MEESHO_KOL_01,PROD_00173,Book,East,258,89,223,62,453.14,0.11,Sunny,NO,398.9,Off-season
05-12-2023,FLIPKART_PUN_02,PROD_00143,beauty,West,448,4,382,125,710.03,0.49,WINDY,Diwali Sale,864.68,Festive
10-06-2024,Spencer_CHN_01,PROD_00394,Home,South,422,227,245,163,2270.34,0.09,SUN,None,1947.16,Slow
23-07-2022,LOCALMART_JDP_01,PROD_00488,Cosmetics,West,19813,279,0,279,773.63,0.15,WINDY,Holi Offer,811.14,Off-season
09-23-2023,DMART_MUM_01,PROD_00232,BOOKS,West,204,150,137,139,497.24,0.43,Rainy,FALSE,432.7,Normal
25-08-2022,DMART_BLR_03,PROD_00125,furniture,South,326,304,193,384,13087.44,0.34,RAINY,TRUE,17285.48,Average
