Date,Store ID,Product ID,Category,Region,Inventory Level,Price,Discount,Weather Condition,Holiday/Promotion,Seasonality,Competitor Pricing,Demand Forecast,Units Sold,Units Ordered
01-01-2024,1044,2859,Electronics,South,329,180.05,0.01,Sunny,Yes,Winter,180.23,107,65,99
02-01-2024,1047,2329,Clothing,North,41,1770.74,0.48,Cloudy,Yes,Summer,1906.7,173,41,168
03-01-2024,1000,2548,Clothing,North,176,2333.2,0.31,Cloudy,No,Monsoon,2472.21,176,127,173
04-01-2024,1003,2359,Clothing,North,134,1526.52,0.22,Cloudy,Yes,Winter,1555.2,47,39,49
05-01-2024,1003,2679,Beauty,East,110,1276.11,0.06,Rainy,No,Winter,1273.95,57,53,54
06-01-2024,1039,2775,Clothing,East,294,2186.6,0.07,Rainy,Yes,Winter,2248.06,183,125,214
07-01-2024,1009,2672,Clothing,East,270,2700.98,0.34,Cloudy,No,Winter,2959.73,106,76,93
08-01-2024,1019,2782,Electronics,West,188,503.83,0.45,Rainy,No,Festive,461.32,144,76,162
09-01-2024,1021,2398,Beauty,South,329,1382.56,0.04,Sunny,Yes,Summer,1286.04,87,62,96
10-01-2024,1036,2383,Electronics,East,403,1032.11,0.18,Rainy,No,Monsoon,932.36,74,59,85
11-01-2024,1023,2867,Electronics,North,178,1074.89,0.18,Sunny,Yes,Summer,1015.11,126,75,115
12-01-2024,1006,2607,Clothing,South,282,234.95,0.36,Cloudy,No,Monsoon,255.68,140,114,133
13-01-2024,1024,2891,Home,North,472,2714.38,0.06,Sunny,No,Winter,2573.36,151,78,148
14-01-2024,1024,2524,Home,South,242,2691.27,0.29,Rainy,No,Summer,2755.44,99,56,89
15-01-2024,1012,2498,Clothing,North,484,865.04,0.24,Rainy,Yes,Summer,854.97,189,142,191
16-01-2024,1001,2635,Electronics,South,233,2010.74,0.38,Rainy,Yes,Monsoon,2159.33,107,76,102
17-01-2024,1038,2522,Beauty,North,349,1235.05,0.49,Rainy,No,Festive,1310.87,124,79,140
18-01-2024,1039,2420,Beauty,South,440,2601.66,0.12,Cloudy,No,Summer,2425.84,79,49,86
19-01-2024,1023,2974,Clothing,West,94,493.09,0.23,Rainy,No,Winter,511.26,84,46,87
20-01-2024,1046,2517,Home,South,469,1433.09,0.11,Sunny,No,Festive,1528,66,39,68
21-01-2024,1024,2143,Beauty,West,187,1539.65,0.25,Cloudy,Yes,Summer,1665.27,96,87,86
22-01-2024,1017,2117,Electronics,East,404,2022.19,0.15,Sunny,Yes,Festive,1974.31,187,137,219
23-01-2024,1037,2626,Beauty,South,378,1320.76,0.31,Sunny,No,Winter,1322.57,191,180,201
24-01-2024,1025,2845,Clothing,East,415,658.03,0.04,Rainy,Yes,Summer,633.62,186,138,201
25-01-2024,1013,2084,Beauty,East,209,2753.43,0.37,Sunny,Yes,Winter,2677.37,97,77,107
26-01-2024,1008,2744,Clothing,West,438,1071.69,0.11,Cloudy,Yes,Festive,1070.42,172,130,200
27-01-2024,1009,2400,Electronics,South,384,1328.41,0.35,Rainy,Yes,Festive,1366.98,93,78,92
28-01-2024,1020,2080,Beauty,West,266,350.53,0.35,Cloudy,Yes,Monsoon,339.77,131,114,128
29-01-2024,1016,2689,Electronics,North,380,1673.1,0.36,Sunny,Yes,Summer,1626.21,155,149,141
30-01-2024,1005,2475,Beauty,North,472,477.13,0.45,Cloudy,No,Summer,524.07,183,176,171
31-01-2024,1015,2876,Home,South,55,2322.13,0.42,Rainy,No,Summer,2398.59,103,55,95
01-02-2024,1047,2026,Electronics,West,213,537.21,0.12,Sunny,No,Winter,561.98,198,182,183
02-02-2024,1000,2660,Electronics,West,58,296.42,0.4,Rainy,No,Summer,292.9,233,58,267
03-02-2024,1018,2425,Home,West,82,1163.91,0.01,Rainy,No,Monsoon,1171.41,70,39,64
04-02-2024,1035,2938,Electronics,North,321,1424.42,0.24,Sunny,No,Winter,1462.88,127,106,124
05-02-2024,1024,2686,Home,North,249,1757.79,0.14,Sunny,Yes,Festive,1859.03,146,93,121
06-02-2024,1049,2542,Electronics,West,422,2973.72,0.36,Sunny,Yes,Festive,3054.7,59,36,52
07-02-2024,1029,2929,Electronics,West,472,1764.14,0.36,Cloudy,Yes,Monsoon,1918.27,195,117,204
08-02-2024,1019,2767,Clothing,East,240,2863.06,0.22,Sunny,No,Monsoon,3051.02,100,60,103
09-02-2024,1019,2186,Home,West,97,1120.15,0.11,Sunny,Yes,Summer,1133.57,56,45,49
10-02-2024,1014,2947,Electronics,East,317,134.35,0.21,Sunny,No,Monsoon,143.75,217,123,227
11-02-2024,1039,2968,Beauty,South,204,448.17,0.19,Cloudy,No,Monsoon,421.78,67,41,68
12-02-2024,1032,2392,Home,West,448,2466.4,0.04,Sunny,Yes,Summer,2629.22,134,85,113
13-02-2024,1001,2027,Beauty,North,431,1697.03,0.27,Rainy,Yes,Summer,1779.35,103,56,103
14-02-2024,1009,2605,Electronics,East,197,1458.33,0.01,Sunny,Yes,Festive,1410.34,163,134,147
15-02-2024,1032,2323,Electronics,South,325,1355.79,0.46,Rainy,Yes,Monsoon,1484.21,131,66,134
16-02-2024,1031,2549,Home,East,241,2441.57,0.34,Sunny,No,Monsoon,2297.36,157,115,152
17-02-2024,1010,2824,Electronics,North,112,894.71,0.03,Rainy,No,Summer,851.91,107,57,87
18-02-2024,1023,2332,Beauty,East,194,1231.36,0.06,Sunny,Yes,Summer,1328.87,68,61,72
19-02-2024,1035,2002,Clothing,South,325,2906.54,0.32,Cloudy,No,Festive,2749.39,156,87,168
20-02-2024,1011,2972,Clothing,West,406,1684.71,0.05,Rainy,Yes,Summer,1536.08,141,124,162
21-02-2024,1028,2796,Beauty,East,314,2073.11,0.09,Rainy,Yes,Festive,2016.83,89,86,76
22-02-2024,1034,2883,Clothing,East,305,2316.71,0.14,Sunny,Yes,Winter,2465.81,198,183,200
23-02-2024,1000,2207,Clothing,West,272,2190.41,0.41,Sunny,No,Summer,2398.27,126,89,101
24-02-2024,1000,2136,Clothing,North,278,121.12,0.37,Sunny,Yes,Summer,117.71,214,166,242
25-02-2024,1036,2158,Beauty,North,432,2578.03,0.2,Rainy,No,Winter,2542.84,42,38,48
26-02-2024,1005,2602,Electronics,West,22,1117.87,0.13,Cloudy,No,Festive,1045,130,22,148
27-02-2024,1038,2253,Clothing,West,141,406.15,0.47,Rainy,No,Summer,390,235,134,212
28-02-2024,1040,2030,Home,South,346,2608.16,0.37,Sunny,Yes,Monsoon,2628.27,146,131,167
29-02-2024,1017,2304,Beauty,South,226,2872.86,0.12,Cloudy,No,Winter,3035.07,97,59,85
01-03-2024,1015,2101,Home,West,298,438.48,0.42,Cloudy,Yes,Winter,470.56,215,210,247
02-03-2024,1004,2040,Beauty,South,306,2735.9,0.29,Cloudy,No,Festive,2947.97,157,80,173
03-03-2024,1041,2000,Beauty,West,141,1821.43,0.07,Sunny,No,Festive,1953.29,144,91,135
04-03-2024,1042,2875,Clothing,West,153,272.58,0.12,Cloudy,No,Festive,250.87,48,43,44
05-03-2024,1031,2912,Clothing,West,238,547.76,0.43,Rainy,Yes,Summer,528.15,110,91,95
06-03-2024,1001,2784,Beauty,West,409,1124.52,0.02,Sunny,No,Festive,1109.6,26,22,24
07-03-2024,1001,2341,Home,North,209,509.67,0.3,Sunny,No,Monsoon,500.67,116,97,105
08-03-2024,1039,2453,Clothing,East,337,1875.82,0.28,Rainy,No,Festive,1825.44,149,127,126
09-03-2024,1041,2618,Beauty,South,323,840.38,0.31,Rainy,Yes,Summer,846.6,227,179,189
10-03-2024,1035,2142,Home,East,257,1212.77,0.02,Rainy,Yes,Monsoon,1224.33,201,148,240
11-03-2024,1038,2203,Electronics,North,292,2566.8,0.5,Rainy,Yes,Festive,2674.97,187,174,193
12-03-2024,1011,2620,Electronics,North,272,123.77,0.07,Cloudy,Yes,Summer,126.8,47,37,53
13-03-2024,1046,2633,Home,West,52,2276.41,0.19,Sunny,Yes,Summer,2465.43,77,52,88
14-03-2024,1018,2007,Home,East,382,2621.87,0.27,Rainy,Yes,Festive,2441.25,150,123,174
15-03-2024,1027,2541,Electronics,West,356,2169.76,0.14,Cloudy,Yes,Monsoon,2326.14,34,23,36
16-03-2024,1000,2167,Home,West,441,2151.02,0.05,Rainy,Yes,Festive,2169.46,82,59,80
17-03-2024,1014,2200,Clothing,West,60,1372.12,0.29,Sunny,Yes,Festive,1412.21,166,60,137
18-03-2024,1035,2944,Electronics,North,286,1081.39,0.35,Rainy,Yes,Monsoon,1046.31,181,154,184
19-03-2024,1012,2167,Clothing,East,200,168.75,0.05,Rainy,No,Festive,182.34,62,44,49
20-03-2024,1042,2399,Clothing,South,102,1057.88,0.15,Sunny,Yes,Winter,995.88,192,97,191
21-03-2024,1020,2098,Home,West,220,2099.14,0.14,Rainy,No,Summer,1980.61,112,68,130
22-03-2024,1011,2564,Electronics,East,393,2402.92,0.43,Cloudy,No,Summer,2423.7,126,104,109
23-03-2024,1004,2465,Electronics,South,297,1829.36,0.13,Sunny,No,Festive,1666.03,211,110,183
24-03-2024,1006,2458,Home,North,150,2871.75,0.11,Cloudy,Yes,Festive,2773.53,89,77,79
25-03-2024,1004,2326,Home,South,230,560.51,0.44,Rainy,No,Summer,576.31,215,150,215
26-03-2024,1047,2615,Beauty,South,208,1780.72,0.26,Rainy,No,Winter,1696.12,149,122,148
27-03-2024,1003,2681,Clothing,East,168,446.67,0.12,Rainy,Yes,Monsoon,460.5,52,39,60
28-03-2024,1012,2650,Beauty,South,242,1599.27,0.03,Rainy,Yes,Monsoon,1586.07,48,32,54
29-03-2024,1036,2847,Electronics,South,383,1830.3,0.07,Sunny,Yes,Summer,1852.9,123,76,99
30-03-2024,1040,2591,Clothing,East,318,1760.74,0.49,Cloudy,Yes,Monsoon,1666.51,126,77,108
31-03-2024,1014,2370,Electronics,South,83,945.05,0.32,Sunny,Yes,Summer,862.79,120,83,100
01-04-2024,1015,2237,Home,East,436,2083.06,0.22,Rainy,No,Winter,2154.04,104,83,123
02-04-2024,1020,2147,Home,West,23,2205.54,0.28,Rainy,No,Summer,2176.88,111,23,107
03-04-2024,1035,2554,Home,West,376,1485.2,0.01,Cloudy,Yes,Monsoon,1468.17,64,38,56
04-04-2024,1023,2941,Clothing,North,107,875.31,0.29,Cloudy,Yes,Monsoon,953.34,207,107,189
05-04-2024,1015,2860,Electronics,West,251,1634.72,0.34,Sunny,Yes,Winter,1612.43,105,104,85
06-04-2024,1013,2323,Electronics,South,140,2425.48,0.07,Sunny,Yes,Festive,2492.35,143,110,116
07-04-2024,1021,2361,Electronics,West,200,2992.42,0.38,Cloudy,Yes,Winter,3223.21,99,57,95
08-04-2024,1048,2814,Electronics,East,182,2304.92,0.07,Cloudy,Yes,Winter,2442.87,46,39,41
09-04-2024,1049,2214,Electronics,West,122,1264.79,0.15,Rainy,No,Winter,1332.99,111,109,91
10-04-2024,1005,2429,Beauty,East,30,2781.34,0.24,Cloudy,No,Festive,2959.69,117,30,127
11-04-2024,1041,2539,Electronics,East,228,1637.02,0.01,Sunny,No,Winter,1672.92,99,59,105
12-04-2024,1035,2429,Home,South,423,2584.39,0.3,Sunny,No,Winter,2511.96,118,85,106
13-04-2024,1000,2585,Clothing,South,365,2495.92,0.39,Cloudy,No,Winter,2430.85,92,64,75
14-04-2024,1031,2281,Beauty,South,225,258.26,0.38,Sunny,No,Festive,235.61,79,55,82
15-04-2024,1005,2145,Clothing,East,215,2494.99,0.27,Cloudy,No,Festive,2706.33,110,76,126
16-04-2024,1030,2826,Beauty,West,455,1387.64,0.13,Cloudy,Yes,Winter,1373.33,80,66,85
17-04-2024,1000,2293,Clothing,North,137,2134.92,0.36,Cloudy,No,Summer,2250.55,101,50,90
18-04-2024,1049,2068,Clothing,East,201,1084.01,0.34,Rainy,No,Monsoon,999.24,183,146,175
19-04-2024,1036,2275,Beauty,East,77,1140.36,0.05,Cloudy,No,Monsoon,1099.3,71,49,79
20-04-2024,1034,2697,Beauty,West,484,2713.93,0.4,Sunny,No,Festive,2705.51,122,113,140
