bill_id,date,region,category,product_name,size,units_sold,base_price,discount_percent,final_price,revenue,inventory_level,customer_gender,season,return_flag
ZUD-0,17-03-2026,Pune,Men,Tshirt,M,14,1753.07,15,1490.11,20861.53,210,Male,Monsoon,1
ZUD-1,14-04-2025,Pune,Kids,Kids Tshirt,XL,24,1967.86,30,1377.5,33060.1,62,Male,Summer,1
ZUD-2,18-06-2025,Mumbai,Kids,Kids Dress,S,21,2095.43,10,1885.89,39603.62,229,Male,Monsoon,0
ZUD-3,21-01-2026,Pune,Accessories,Socks,M,2,2219.54,15,1886.61,3773.22,207,Male,Monsoon,0
ZUD-4,19-02-2026,Pune,Kids,Kids Shorts,XL,29,1331.65,10,1198.48,34756.02,127,Male,Winter,0
ZUD-5,17-12-2024,Mumbai,Men,Tshirt,L,18,2086.11,10,1877.5,33795.03,278,Male,Summer,0
ZUD-6,29-09-2024,Delhi,Men,Shirt,XL,26,409.77,30,286.84,7457.85,238,Female,Winter,1
ZUD-7,06-03-2026,Mumbai,Accessories,Cap,XL,9,1471.68,20,1177.35,10596.13,49,Male,Winter,0
ZUD-8,07-09-2025,Delhi,Accessories,Cap,S,1,353.55,0,353.55,353.55,183,Female,Summer,1
ZUD-9,09-09-2025,Pune,Men,Jeans,S,17,2407.78,10,2167,36839.04,240,Female,Winter,0
ZUD-10,14-12-2024,Mumbai,Men,Shirt,L,5,2027.93,20,1622.34,8111.72,111,Male,Summer,0
ZUD-11,02-11-2025,Bangalore,Kids,Kids Tshirt,XL,21,1487.77,15,1264.61,26556.72,194,Female,Summer,0
ZUD-12,20-10-2024,Pune,Men,Tshirt,M,11,2809.1,0,2809.1,30900.13,43,Female,Monsoon,0
ZUD-13,04-08-2024,Chennai,Women,Jeans,XL,28,791.21,20,632.97,17723.17,284,Male,Summer,1
ZUD-14,30-07-2025,Delhi,Women,Skirt,L,17,322.5,15,274.12,4660.06,111,Female,Winter,0
ZUD-15,25-11-2024,Mumbai,Accessories,Socks,L,1,1027.41,10,924.67,924.67,144,Female,Winter,0
ZUD-16,29-04-2025,Delhi,Accessories,Socks,L,14,983.54,0,983.54,13769.56,202,Male,Monsoon,1
ZUD-17,02-04-2025,Mumbai,Accessories,Socks,S,11,2231.59,15,1896.85,20865.33,172,Female,Monsoon,0
ZUD-18,18-01-2026,Bangalore,Kids,Kids Tshirt,M,3,1759.52,15,1495.59,4486.77,152,Female,Winter,0
ZUD-19,12-05-2024,Mumbai,Kids,Kids Tshirt,M,28,1688.25,,1435.01,40180.38,176,Female,Summer,0
ZUD-20,14-04-2025,Mumbai,Kids,Kids Shorts,M,29,1370.1,15,1164.59,33773.05,15,Male,Monsoon,0
ZUD-21,12-11-2025,Pune,Accessories,Socks,L,15,2934.36,20,2347.49,35212.32,102,Female,Monsoon,0
ZUD-22,29-11-2024,Bangalore,Kids,Kids Dress,M,26,1832.89,10,1649.6,42889.68,116,Male,Winter,0
ZUD-23,18-09-2024,Pune,Women,Jeans,M,10,1436.58,20,1149.27,11492.67,125,Female,Monsoon,0
ZUD-24,25-04-2025,Pune,Women,Top,XL,24,526.83,15,447.81,10747.38,265,Female,Monsoon,0
ZUD-25,23-11-2024,Chennai,Kids,Kids Tshirt,XL,6,990.65,10,891.59,5349.51,231,Female,Winter,0
ZUD-26,28-11-2025,Delhi,Women,Kurti,M,27,560.19,0,560.19,15125,240,Female,Winter,0
ZUD-27,24-10-2025,Delhi,Accessories,Cap,M,27,1418.03,10,1276.23,34458.19,107,Female,Monsoon,0
ZUD-28,28-01-2026,Pune,Accessories,Belt,XL,23,1282,30,897.4,20640.2,96,Female,Monsoon,0
ZUD-29,08-02-2026,Mumbai,Women,Jeans,XL,4,2492.42,30,1744.7,6978.78,61,Male,Winter,1
ZUD-30,10-04-2025,Mumbai,Accessories,Socks,M,9,2298.24,20,1838.59,16547.31,155,Male,Summer,1
ZUD-31,26-10-2025,Bangalore,Men,Tshirt,S,24,1701.85,15,1446.57,34717.75,29,Female,Monsoon,0
ZUD-32,14-07-2025,Chennai,Men,Shirt,S,11,1298.18,10,1168.36,12852.01,229,Male,Monsoon,0
ZUD-33,17-11-2025,Chennai,Kids,Kids Dress,L,17,2239.17,10,2015.25,34259.29,73,Male,Monsoon,0
ZUD-34,19-02-2026,Bangalore,Kids,Kids Tshirt,XL,10,1531.84,30,1072.29,10722.85,261,Female,Monsoon,0
ZUD-35,06-11-2025,Chennai,Accessories,Belt,L,25,654.6,15,556.41,13910.17,249,Male,Monsoon,0
ZUD-36,30-11-2025,Bangalore,Kids,Kids Shorts,L,1,1236.75,30,865.72,865.72,91,Female,Winter,1
ZUD-37,01-03-2026,Delhi,Men,Tshirt,S,21,516.32,10,464.69,9758.46,176,Female,Monsoon,0
ZUD-38,25-12-2025,Pune,Men,Joggers,M,4,976.31,10,878.68,3514.71,186,Female,Summer,0
ZUD-39,21-09-2024,Pune,Women,Jeans,S,25,3198.29,0,3198.29,79957.35,132,Male,Monsoon,0
ZUD-40,07-12-2024,Delhi,Accessories,Cap,M,17,2032.39,20,1625.91,27640.54,89,Female,Winter,0
ZUD-41,02-05-2025,Pune,Men,Tshirt,L,25,2444.22,0,2444.22,61105.4,30,Male,Winter,0
ZUD-42,26-08-2025,Pune,Men,Joggers,XL,26,505.3,0,505.3,13137.68,196,Female,Summer,1
ZUD-43,13-07-2024,Bangalore,Accessories,Socks,XL,24,2027.43,0,2027.43,48658.43,130,Male,Monsoon,0
ZUD-44,22-06-2025,Bangalore,Men,Shirt,L,23,2525.19,30,1767.63,40655.59,93,Male,Summer,1
ZUD-45,04-02-2026,Pune,Kids,Kids Dress,XL,1,794.21,0,794.21,794.21,131,Female,Summer,1
ZUD-46,01-08-2025,Pune,Men,Jacket,S,15,2920.87,0,2920.87,43813.01,30,Female,Monsoon,1
ZUD-47,26-02-2026,Delhi,Kids,Kids Shorts,S,1,2957.39,0,2957.39,2957.39,115,Female,Summer,0
ZUD-48,24-05-2024,Bangalore,Men,Joggers,S,1,501.69,10,451.52,451.52,83,Female,Summer,0
ZUD-49,20-07-2025,Bangalore,Kids,Kids Tshirt,M,22,1901.7,20,1521.36,33469.99,125,Male,Monsoon,0
ZUD-50,25-07-2025,Bangalore,Kids,Kids Dress,L,14,463.61,10,417.25,5841.45,279,Male,Summer,0
ZUD-51,26-01-2025,Mumbai,Women,Top,S,12,3427.87,10,3085.08,37021,23,Female,Summer,0
ZUD-52,06-04-2025,Pune,Women,Top,M,19,1961.56,20,1569.25,29815.78,297,Male,Summer,0
ZUD-53,03-02-2026,Chennai,Men,Jeans,M,17,751.38,15,638.67,10857.37,144,Male,Summer,0
ZUD-54,23-09-2024,Delhi,Kids,Kids Dress,XL,26,2338.37,30,1636.86,42558.33,70,Male,Summer,0
ZUD-55,12-07-2025,Pune,Women,Kurti,S,27,3133.96,20,2507.17,67693.56,226,Female,Monsoon,0
ZUD-56,27-12-2025,Chennai,Women,Dress,M,9,616.99,,616.99,5552.87,116,Male,Winter,1
ZUD-57,16-11-2025,Bangalore,Kids,Kids Tshirt,L,11,1258.09,30,880.67,9687.32,78,Male,Summer,1
ZUD-58,06-05-2024,Mumbai,Accessories,Belt,M,24,236.23,10,212.6,5102.5,93,Male,Winter,0
ZUD-59,01-01-2025,Chennai,Kids,Kids Shorts,S,17,2732.95,0,2732.95,46460.2,119,Male,Summer,0
ZUD-60,08-06-2024,Mumbai,Men,Joggers,S,4,1233,10,1109.7,4438.8,89,Male,Winter,0
ZUD-61,07-12-2024,Chennai,Men,Jeans,M,22,751.4,10,676.26,14877.77,258,Male,Monsoon,0
ZUD-62,23-10-2025,Delhi,Accessories,Socks,S,19,2800.32,15,2380.27,45225.09,75,Female,Summer,0
ZUD-63,22-05-2024,Delhi,Women,Top,,2,1626.51,0,1626.51,3253.02,71,Female,Summer,0
ZUD-64,19-04-2026,Delhi,Accessories,Cap,XL,8,2334.57,0,2334.57,18676.59,56,Male,Summer,1
ZUD-65,16-07-2024,Mumbai,Women,Jeans,S,1,335.95,30,235.16,235.16,171,Female,Summer,0
ZUD-66,26-04-2025,Bangalore,Women,Top,XL,8,559.81,10,503.83,4030.61,212,Male,Summer,0
ZUD-67,03-07-2024,Chennai,Women,Dress,M,2,1555.39,30,1088.78,2177.55,218,Female,Winter,0
ZUD-68,04-07-2024,Chennai,Men,Joggers,L,5,1994.23,0,1994.23,9971.14,268,Female,Winter,0
ZUD-69,07-06-2025,Bangalore,Women,Top,S,29,2082.36,15,1770.01,51330.22,187,Female,Monsoon,0
ZUD-70,20-12-2025,Bangalore,Kids,Kids Shorts,M,26,2653.58,15,2255.54,58644.02,197,Male,Monsoon,1
ZUD-71,17-08-2025,Bangalore,Kids,Kids Dress,S,24,2785.93,20,2228.74,53489.86,199,Male,Winter,1
ZUD-72,04-12-2025,Chennai,Women,Dress,M,2,809.2,20,647.36,1294.73,248,Female,Winter,1
ZUD-73,25-01-2026,Pune,Men,Tshirt,L,3,1153.3,15,980.3,2940.91,247,Male,Summer,0
ZUD-74,25-01-2026,Chennai,Kids,Kids Dress,XL,22,500.18,10,450.16,9903.56,186,Female,Summer,0
ZUD-75,07-04-2026,Pune,Kids,Kids Shorts,XL,20,1407.85,15,1196.68,23933.53,286,Female,Monsoon,0
ZUD-76,02-06-2024,Pune,Women,Dress,S,1,3074.92,10,2767.43,2767.43,97,Female,Monsoon,1
ZUD-77,20-04-2025,Delhi,Accessories,Cap,M,27,687.93,30,481.55,13001.87,252,Female,Summer,0
ZUD-78,26-09-2025,Chennai,Kids,Kids Tshirt,S,14,568.7,,511.83,7165.57,131,Male,Monsoon,0
ZUD-79,10-01-2026,Mumbai,Kids,Kids Shorts,M,14,1252.72,15,1064.81,14907.33,96,Female,Winter,0
ZUD-80,30-12-2025,Pune,Accessories,Belt,M,28,1252.14,0,1252.14,35059.9,166,Male,Monsoon,0
ZUD-81,12-09-2025,Bangalore,Kids,Kids Tshirt,,4,2390.03,15,2031.52,8126.09,93,Female,Winter,1
ZUD-82,09-09-2024,Mumbai,Men,Joggers,M,7,411.87,20,329.5,2306.5,52,Male,Monsoon,0
ZUD-83,15-07-2025,Mumbai,Accessories,Socks,S,6,2685.13,10,2416.62,14499.72,148,Male,Summer,0
ZUD-84,27-04-2025,Chennai,Kids,Kids Shorts,M,20,1004.53,0,1004.53,20090.66,58,Male,Winter,0
ZUD-85,29-08-2025,Chennai,Women,Jeans,XL,7,282.69,15,240.28,1681.98,281,Female,Summer,0
ZUD-86,13-08-2025,Mumbai,Accessories,Cap,M,13,1435.87,10,1292.29,16799.72,296,Male,Winter,0
ZUD-87,22-06-2024,Pune,Women,Jeans,S,16,1720.95,20,1376.76,22028.17,69,Male,Monsoon,1
ZUD-88,08-03-2025,Mumbai,Men,Shirt,M,3,408.46,15,347.19,1041.57,274,Male,Summer,1
ZUD-89,29-10-2025,Chennai,Kids,Kids Tshirt,S,22,838.04,15,712.33,15671.26,178,Male,Winter,1
ZUD-90,17-10-2024,Pune,Women,Top,M,21,1475.78,30,1033.05,21693.99,114,Male,Winter,0
ZUD-91,11-04-2025,Delhi,Men,Shirt,,3,620.6,0,620.6,1861.81,149,Male,Winter,0
ZUD-92,25-07-2025,Delhi,Accessories,Bag,S,19,1350.36,10,1215.32,23091.15,29,Female,Summer,0
ZUD-93,13-11-2024,Pune,Accessories,Bag,M,7,2887.48,30,2021.24,14148.65,213,Female,Summer,0
ZUD-94,07-03-2026,Chennai,Men,Tshirt,M,19,397.96,10,358.17,6805.16,242,Male,Summer,0
ZUD-95,26-01-2025,Bangalore,Men,Jeans,M,3,2804.19,10,2523.77,7571.3,88,Male,Summer,0
ZUD-96,07-03-2026,Bangalore,Women,Jeans,M,15,676.5,15,575.03,8625.43,90,Female,Winter,0
ZUD-97,24-08-2025,Chennai,Women,Kurti,M,18,1118.29,20,894.63,16103.43,183,Female,Monsoon,0
ZUD-98,03-11-2025,Chennai,Men,Jeans,S,21,574.71,10,517.24,10862.09,113,Female,Monsoon,0
ZUD-99,18-06-2025,Chennai,Accessories,Bag,M,19,1066.71,20,853.37,16214,131,Female,Summer,0
ZUD-100,09-08-2024,Pune,Men,Shirt,M,29,2993.33,30,2095.33,60764.62,272,Female,Monsoon,1
ZUD-101,03-06-2024,Pune,Accessories,Socks,S,16,1649.96,30,1154.97,18479.55,55,Female,Monsoon,0
ZUD-102,12-06-2025,Pune,Kids,Kids Dress,L,5,807.23,0,807.23,4036.17,78,Female,Monsoon,0
ZUD-103,11-07-2025,Pune,Men,Tshirt,M,29,245.96,30,172.17,4993.03,211,Female,Summer,0
ZUD-104,31-10-2024,Bangalore,Accessories,Cap,L,25,223.35,20,178.68,4466.91,259,Female,Winter,1
ZUD-105,13-06-2025,Mumbai,Women,Dress,S,26,2961.51,10,2665.36,69299.31,30,Male,Summer,0
ZUD-106,25-11-2024,Pune,Women,Jeans,L,11,2508.01,15,2131.81,23449.91,79,Male,Summer,0
ZUD-107,09-11-2025,Chennai,Women,Dress,XL,26,3168.84,0,3168.84,82389.87,113,Male,Monsoon,0
ZUD-108,02-08-2024,Pune,Men,Tshirt,XL,19,2303.43,30,1612.4,30635.61,74,Male,Monsoon,0
ZUD-109,05-01-2026,Chennai,Kids,Kids Shorts,XL,14,2643.49,15,2246.97,31457.54,68,Male,Winter,1
ZUD-110,23-11-2025,Mumbai,Women,Kurti,L,12,3590.87,10,3231.78,38781.42,259,Male,Monsoon,1
ZUD-111,17-11-2024,Delhi,Women,Skirt,S,23,799.08,30,559.36,12865.18,10,Female,Summer,0
ZUD-112,21-07-2024,Bangalore,Kids,Kids Shorts,XL,20,2924.29,10,2631.86,52637.13,158,Female,Monsoon,0
ZUD-113,15-12-2025,Chennai,Kids,Kids Dress,M,23,2496.19,10,2246.57,51671.16,130,Female,Monsoon,0
ZUD-114,20-09-2024,Mumbai,Kids,Kids Shorts,L,12,803.23,,642.58,7711,222,Female,Winter,1
ZUD-115,22-08-2025,Delhi,Accessories,Belt,,13,2434.33,15,2069.18,26899.31,119,Female,Monsoon,0
ZUD-116,04-04-2026,Delhi,Kids,Kids Tshirt,XL,3,365.53,0,365.53,1096.59,74,Male,Summer,0
ZUD-117,06-12-2025,Chennai,Women,Dress,XL,4,1731.81,0,1731.81,6927.26,197,Female,Winter,0
ZUD-118,04-06-2025,Delhi,Women,Kurti,L,5,1891.96,10,1702.77,8513.84,107,Male,Winter,1
ZUD-119,22-10-2025,Bangalore,Accessories,Socks,XL,3,221,10,198.9,596.71,104,Male,Summer,0
ZUD-120,02-10-2024,Delhi,Kids,Kids Tshirt,L,24,2765.02,20,2212.02,53088.41,146,Male,Winter,0
ZUD-121,27-03-2026,Mumbai,Men,Tshirt,M,23,1200.85,30,840.6,19333.71,298,Female,Monsoon,1
ZUD-122,29-05-2024,Chennai,Women,Top,L,4,451.43,30,316,1264,226,Male,Summer,1
ZUD-123,18-07-2025,Delhi,Men,Joggers,S,22,1831.66,15,1556.91,34251.95,259,Female,Monsoon,0
ZUD-124,27-02-2025,Delhi,Women,Skirt,M,23,1568.93,30,1098.25,25259.75,48,Male,Winter,0
ZUD-125,27-04-2025,Bangalore,Kids,Kids Shorts,L,5,1614.95,15,1372.71,6863.56,251,Male,Winter,0
ZUD-126,03-04-2025,Mumbai,Men,Shirt,L,1,236.54,30,165.58,165.58,287,Female,Monsoon,1
ZUD-127,25-07-2024,Pune,Men,Jacket,L,14,1023.96,20,819.16,11468.31,20,Female,Summer,1
ZUD-128,10-05-2025,Chennai,Kids,Kids Shorts,XL,22,332.87,15,282.94,6224.62,114,Male,Monsoon,0
ZUD-129,31-03-2025,Bangalore,Kids,Kids Dress,S,17,1317.84,,1054.27,17922.67,50,Male,Winter,0
ZUD-130,12-10-2025,Pune,Men,Jacket,XL,7,1053.67,10,948.3,6638.11,164,Female,Winter,1
ZUD-131,08-08-2025,Pune,Kids,Kids Dress,M,7,843.78,20,675.02,4725.17,65,Female,Monsoon,0
ZUD-132,10-06-2025,Pune,Women,Top,M,24,2951.54,10,2656.39,63753.26,81,Female,Summer,0
ZUD-133,26-04-2026,Bangalore,Accessories,Bag,S,13,1654.16,,1654.16,21504.09,292,Male,Winter,1
ZUD-134,21-03-2025,Mumbai,Men,Shirt,S,22,657.09,15,558.53,12287.57,199,Male,Winter,0
ZUD-135,10-06-2024,Delhi,Men,Shirt,XL,27,2978.19,10,2680.37,72369.91,31,Female,Monsoon,0
ZUD-136,02-06-2025,Bangalore,Men,Jeans,XL,6,445.72,0,445.72,2674.29,106,Male,Summer,1
ZUD-137,14-06-2024,Bangalore,Women,Top,L,18,870.63,30,609.44,10969.89,231,Female,Monsoon,0
ZUD-138,13-02-2025,Mumbai,Accessories,Socks,M,22,1373.48,20,1098.79,24173.32,199,Female,Winter,0
ZUD-139,27-03-2025,Pune,Men,Shirt,XL,28,2959.69,0,2959.69,82871.44,116,Male,Monsoon,0
ZUD-140,07-03-2026,Mumbai,Kids,Kids Tshirt,L,1,2154.37,30,1508.06,1508.06,39,Male,Winter,1
ZUD-141,14-07-2025,Mumbai,Kids,Kids Shorts,S,1,2673.71,20,2138.97,2138.97,151,Male,Monsoon,0
ZUD-142,07-03-2026,Delhi,Women,Top,L,13,1479.26,20,1183.41,15384.29,175,Male,Winter,0
ZUD-143,20-03-2026,Delhi,Kids,Kids Shorts,M,4,906.12,15,770.2,3080.8,224,Female,Summer,1
ZUD-144,25-07-2024,Mumbai,Kids,Kids Tshirt,M,16,797.67,10,717.9,11486.48,131,Male,Summer,0
ZUD-145,12-12-2025,Mumbai,Kids,Kids Shorts,L,19,1858.37,30,1300.86,24716.34,156,Female,Summer,0
ZUD-146,20-04-2025,Bangalore,Kids,Kids Dress,L,27,291.95,10,262.75,7094.31,138,Female,Monsoon,1
ZUD-147,29-09-2024,Mumbai,Men,Joggers,XL,17,253.05,20,202.44,3441.41,267,Female,Winter,1
ZUD-148,16-08-2024,Chennai,Men,Jacket,XL,16,2351.35,20,1881.08,30097.31,180,Male,Winter,1
ZUD-149,16-10-2024,Pune,Women,Skirt,XL,13,496.21,30,347.34,4515.47,65,Female,Summer,0
ZUD-150,04-04-2026,Bangalore,Accessories,Bag,S,29,2007.27,30,1405.09,40747.51,190,Male,Winter,0
ZUD-151,11-06-2024,Delhi,Women,Top,L,25,2439.15,0,2439.15,60978.68,267,Female,Summer,0
ZUD-152,02-09-2024,Chennai,Men,Joggers,L,21,1018.1,10,916.29,19242.04,270,Male,Winter,1
ZUD-153,26-02-2026,Chennai,Men,Joggers,M,25,1576.81,30,1103.76,27594.12,191,Male,Summer,1
ZUD-154,24-04-2026,Chennai,Accessories,Cap,S,4,1917.59,30,1342.32,5369.26,89,Female,Monsoon,1
ZUD-155,08-12-2024,Pune,Accessories,Socks,L,2,2900.69,10,2610.62,5221.24,143,Female,Summer,0
ZUD-156,27-08-2024,Chennai,Women,Skirt,L,7,898.26,20,718.61,5030.26,258,Female,Summer,1
ZUD-157,30-06-2024,Mumbai,Kids,Kids Tshirt,S,27,2509.56,10,2258.61,60982.42,13,Female,Monsoon,0
ZUD-158,15-09-2025,Bangalore,Kids,Kids Tshirt,M,23,2998.75,15,2548.94,58625.62,152,Female,Winter,0
ZUD-159,18-08-2025,Bangalore,Women,Skirt,S,7,1447.75,0,1447.75,10134.22,241,Female,Monsoon,0
ZUD-160,18-10-2025,Chennai,Women,Skirt,L,27,2398.04,15,2038.33,55034.94,256,Female,Monsoon,0
ZUD-161,05-07-2025,Chennai,Kids,Kids Dress,M,10,1572.32,0,1572.32,15723.16,151,Female,Winter,1
ZUD-162,29-11-2024,Mumbai,Accessories,Socks,L,21,921.42,15,783.21,16447.37,71,Male,Monsoon,0
ZUD-163,10-07-2024,Chennai,Men,Tshirt,L,16,1489.87,10,1340.89,21454.19,73,Female,Winter,0
ZUD-164,01-08-2025,Mumbai,Women,Jeans,M,29,1105.52,0,1105.52,32060.17,227,Male,Monsoon,0
ZUD-165,20-04-2025,Pune,Men,Jacket,S,17,642.95,10,578.65,9837.08,117,Male,Monsoon,0
ZUD-166,26-06-2024,Bangalore,Men,Jacket,L,14,1691.26,0,1691.26,23677.63,250,Female,Winter,0
ZUD-167,03-05-2025,Bangalore,Women,Kurti,L,1,2152.98,15,1830.04,1830.04,285,Female,Monsoon,0
ZUD-168,17-07-2025,Delhi,Kids,Kids Tshirt,L,12,2778.1,20,2222.48,26669.81,192,Female,Winter,1
ZUD-169,28-10-2025,Bangalore,Accessories,Socks,L,4,451.66,0,451.66,1806.63,50,Male,Winter,0
ZUD-170,23-04-2025,Chennai,Accessories,Bag,M,23,1149.67,15,977.22,22475.96,120,Male,Monsoon,0
ZUD-171,12-03-2026,Mumbai,Women,Skirt,M,8,3427.17,10,3084.46,24675.66,280,Female,Winter,0
ZUD-172,05-11-2025,Bangalore,Kids,Kids Dress,M,24,2854.66,15,2426.46,58235,234,Female,Summer,0
ZUD-173,10-02-2025,Bangalore,Accessories,Socks,XL,11,2048.6,30,1434.02,15774.26,107,Male,Monsoon,1
ZUD-174,02-02-2025,Delhi,Kids,Kids Shorts,XL,14,1695.82,20,1356.66,18993.2,165,Male,Winter,0
ZUD-175,10-06-2025,Chennai,Men,Jacket,S,20,860.82,15,731.7,14633.95,58,Male,Summer,0
ZUD-176,14-11-2025,Pune,Accessories,Socks,XL,27,2063.92,15,1754.33,47366.91,23,Female,Summer,0
ZUD-177,08-08-2024,Chennai,Kids,Kids Dress,L,13,811.61,20,649.29,8440.74,192,Male,Monsoon,0
ZUD-178,06-10-2025,Delhi,Women,Skirt,M,28,3412.29,15,2900.45,81212.6,195,Male,Winter,0
ZUD-179,01-06-2025,Bangalore,Kids,Kids Dress,L,14,1368.88,0,1368.88,19164.29,29,Male,Winter,0
ZUD-180,23-09-2025,Delhi,Accessories,Bag,XL,29,2675.37,10,2407.83,69827.19,75,Male,Winter,1
